,Air Quality Health Index,Carbon Monoxide,Fine Particulate Matter,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Temperature,Ozone,Relative Humidity,Total Oxides of Nitrogen,Wind Direction,Wind Speed
43054,3.0,0.25,13.7,2.1,0.0,0.006,0.0,12.5,0.04,99.1,0.005,346.0,23.7
43051,3.0,0.25,8.9,2.1,0.0,0.006,0.0,12.5,0.039,99.9,0.006,344.0,23.0
43048,3.0,0.24,6.5,2.1,0.0,0.007,0.0,12.1,0.036,99.9,0.007,346.0,21.5
43045,3.0,0.23,5.5,2.2,0.0,0.006,0.0,12.2,0.036,100.0,0.006,344.0,18.7
43042,3.0,0.22,4.2,2.1,0.0,0.005,0.0,12.3,0.04,98.6,0.004,344.0,19.0
43036,3.0,0.2,1.5,2.1,0.0,0.003,0.0,12.4,0.043,96.1,0.002,341.0,19.9
43033,3.0,0.2,1.3,2.1,0.0,0.004,0.0,12.8,0.047,78.9,0.004,349.0,19.5
43030,4.0,0.21,11.0,2.1,0.0,0.004,0.0,13.5,0.05,74.9,0.003,354.0,21.1
43027,4.0,0.23,13.8,2.1,0.0,0.006,0.0,13.9,0.047,77.0,0.005,354.0,22.6
43024,4.0,0.23,14.2,2.1,0.0,0.006,0.0,14.6,0.048,72.0,0.005,359.0,19.0
43021,4.0,0.26,18.3,2.1,0.0,0.012,0.0,17.0,0.046,55.0,0.011,360.0,16.6
43018,4.0,0.24,6.5,2.1,0.0,0.01,0.0,20.0,0.05,29.1,0.009,95.0,4.7
43015,4.0,0.18,4.9,2.1,0.0,0.003,0.0,22.0,0.058,23.5,0.003,142.0,7.9
43012,4.0,0.18,6.1,2.1,0.0,0.003,0.0,22.5,0.059,22.8,0.003,165.0,10.0
43009,4.0,0.19,6.2,2.1,0.0,0.003,0.0,22.7,0.059,23.9,0.003,154.0,10.6
43006,4.0,0.19,7.3,2.1,0.0,0.003,0.0,23.5,0.061,23.1,0.003,163.0,8.8
43003,4.0,0.22,10.0,2.1,0.0,0.003,0.0,23.5,0.065,24.5,0.003,150.0,8.1
43000,5.0,0.21,16.4,2.1,0.0,0.005,0.0,23.0,0.065,28.1,0.005,147.0,9.3
42997,5.0,0.23,17.5,2.1,0.0,0.006,0.0,22.1,0.063,34.8,0.006,133.0,8.1
42994,5.0,0.25,20.4,2.1,0.0,0.006,0.0,21.7,0.064,39.8,0.006,108.0,5.4
42991,5.0,0.27,27.7,2.1,0.001,0.007,0.0,20.2,0.059,49.8,0.007,29.0,4.1
42988,5.0,0.26,39.7,2.1,0.001,0.006,0.0,17.9,0.053,61.5,0.007,1.0,6.6
42985,5.0,0.24,35.8,2.1,0.001,0.006,0.0,15.6,0.048,70.0,0.007,358.0,10.2
42982,5.0,0.23,69.9,2.1,0.001,0.006,0.0,14.2,0.045,78.8,0.006,356.0,12.2
42979,4.0,0.23,30.1,2.1,0.0,0.007,0.0,12.5,0.043,93.2,0.007,342.0,16.8
42976,4.0,0.23,25.3,2.1,0.0,0.007,0.0,11.9,0.041,95.1,0.007,347.0,15.0
42973,4.0,0.22,20.1,2.1,0.0,0.006,0.0,11.4,0.041,99.0,0.006,333.0,8.9
42970,4.0,0.2,16.7,2.1,0.0,0.006,0.0,11.3,0.044,95.2,0.005,328.0,11.9
42964,4.0,0.19,18.5,2.2,0.0,0.005,0.0,12.6,0.047,74.1,0.005,341.0,19.7
42961,5.0,0.18,19.2,2.2,0.0,0.005,0.0,13.4,0.047,62.3,0.004,348.0,22.9
42958,5.0,0.22,59.8,2.1,0.0,0.017,0.0,14.2,0.026,47.7,0.017,339.0,6.9
42952,4.0,0.29,32.9,2.1,0.0,0.016,0.0,15.4,0.025,44.8,0.016,341.0,2.0
42949,4.0,0.28,25.4,2.1,0.0,0.015,0.0,18.2,0.033,35.5,0.015,74.0,2.4
42946,4.0,0.2,13.3,2.1,0.0,0.005,0.0,21.9,0.05,22.8,0.004,320.0,4.3
42943,4.0,0.19,13.1,2.0,0.0,0.004,0.0,23.7,0.053,22.1,0.003,336.0,7.5
42940,6.0,0.18,14.1,2.1,0.0,0.003,0.0,25.0,0.057,19.1,0.003,313.0,8.2
42937,6.0,0.2,14.8,2.1,0.0,0.003,0.0,24.5,0.06,22.6,0.003,348.0,10.3
42934,8.0,0.19,148.8,2.1,0.0,0.003,0.0,25.5,0.06,19.9,0.003,310.0,9.8
42931,5.0,0.18,13.8,2.1,0.0,0.002,0.0,25.0,0.061,18.4,0.002,192.0,5.8
42928,5.0,0.2,40.9,2.1,0.0,0.004,0.0,24.6,0.063,22.4,0.003,132.0,2.6
42925,5.0,0.23,27.2,2.1,0.0,0.006,0.0,23.4,0.061,26.2,0.006,56.0,2.7
42922,5.0,0.21,33.5,2.1,0.0,0.006,0.0,21.7,0.057,30.0,0.006,338.0,9.3
42919,4.0,0.23,14.9,2.1,0.001,0.007,0.0,22.2,0.057,29.7,0.008,78.0,2.3
42916,4.0,0.25,21.9,2.1,0.001,0.009,0.0,20.6,0.051,42.1,0.01,101.0,3.9
42913,3.0,0.24,24.1,2.1,0.001,0.007,0.0,18.8,0.045,49.6,0.008,24.0,4.6
42910,3.0,0.26,11.2,2.1,0.002,0.008,0.0,17.4,0.04,54.9,0.01,4.0,6.8
